Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://otterbox.com,493,added,otterbox.com,null,null,null,null,null,null,null,null,None,None,None
https://panerabread.com,494,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://lordandtaylor.com,497,added,lordandtaylor.com,null,null,null,null,null,null,null,null,None,None,None
https://ninjajournalist.com,498,added,ninjajournalist.com,null,null,null,null,null,null,null,null,None,None,None
https://townhall.com,501,added,townhall.com,null,null,null,null,null,null,null,null,None,None,None
https://landandfarm.com,502,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://fingerhut.com,503,added,fingerhut.com,null,null,null,null,null,null,null,null,None,None,None
https://summitracing.com,505,added,summitracing.com,null,null,null,null,null,null,null,null,None,None,None
https://fedex.com,506,added,fedex.com,null,null,null,null,null,null,null,null,None,None,None
https://calculator.net,509,added,calculator.net,null,null,null,null,null,null,null,null,None,None,None
https://fb.com,512,redirected,facebook.com,null,null,null,null,null,null,null,null,None,None,None
https://clickfunnels.com,519,added,clickfunnels.com,null,null,null,null,null,null,null,null,None,None,None
https://imgflip.com,523,added,imgflip.com,null,null,null,null,null,null,null,null,None,None,None
https://thestranger.com,525,added,thestranger.com,null,null,null,null,null,null,null,null,None,None,None
https://discounttiredirect.com,526,added,discounttiredirect.com,null,null,null,null,null,null,null,null,None,None,None
https://draxe.com,528,added,draxe.com,null,null,null,null,null,null,null,null,None,None,None
https://kingarthurflour.com,529,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://cookinglight.com,532,redirected,eatingwell.com,null,null,null,null,null,null,null,null,None,None,None
https://jared.com,534,added,jared.com,null,null,null,null,null,null,null,null,None,None,None
https://helpdesk.decipherinc.com,535,added,decipherinc.com,null,null,null,null,null,null,null,null,None,None,None
https://campbells.com,536,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://lowes.com,537,added,lowes.com,null,null,null,null,null,null,null,null,None,None,None
https://offerup.com,538,added,offerup.com,null,null,null,null,null,null,null,null,None,None,None
https://windowsazure.com,545,redirected,microsoft.com,null,null,null,null,null,null,null,null,None,None,None
https://elevenwarriors.com,546,added,elevenwarriors.com,null,null,null,null,null,null,null,null,None,None,None
https://apps.mybobs.com,547,added,mybobs.com,null,null,null,null,null,null,null,null,None,None,None
https://bookbub.com,548,added,bookbub.com,null,null,null,null,null,null,null,null,None,None,None
